"","Candidate","Constituency_No","Party","pid","Votes","Margin","Margin_PC"
"177","NARAYANASWAMY L N",179,"JD(S)","TEKE17682",86966,17010,9.93818576987345
"178","T VENKATARAMANAIAH",180,"INC","AEKE2986",73225,9945,5.89308887927612
"179","DR. K .SREENIVASAMURTHY",181,"JD(S)","AEKE2994",69277,24321,15.0655062409019
"180","A. MANJUNATH",182,"JD(S)","AEKE3011",119492,51425,26.4779783542205
"181","H.D.KUMARASWAMY",183,"JD(S)","GEKE3026",92626,22636,13.1871460862676
"182","D K SHIVAKUMAR",184,"INC","AEKE3038",127552,79909,42.9267480338648
"183","H D KUMARA SWAMY",185,"JD(S)","GEKE3026",87995,21530,11.3907509007317
"184","DR.K.ANNADANI",186,"JD(S)","AEKE3065",103038,26760,13.7459869012457
"185","D.C.THAMMANNA",187,"JD(S)","AEKE3078",109239,54030,31.3954501873965
"186","C S PUTTARAJU",188,"JD(S)","AEKE11",96003,22224,12.7019689652216
"187","M SRINIVAS",189,"JD(S)","AEKE421",69421,21608,13.0698554984969
"188","RAVINDRA SRIKANTAIAH",190,"JD(S)","AEKE3120",101307,43688,24.7306897625315
"189","SURESH GOWDAA",191,"JD(S)","AEKE3131",112396,47667,26.2668621054488
"190","NARAYANAGOWDA",192,"JD(S)","AEKE3142",88016,17119,9.8383361206416
"191","C N BALAKRISHNA",193,"JD(S)","AEKE3150",105516,53012,31.6941785592577
"192","K.M SHIVALINGE GOWDA",194,"JD(S)","AEKE3161",93986,43689,25.2597436386658
"193","LINGESHA. K.S.",195,"JD(S)","AEKE19102",64268,19690,12.9302136210508
"194","PREETHAM J GOWDA",196,"BJP","AEKE19108",63348,13006,8.4215024799596
"195","H D REVANNA",197,"JD(S)","AEKE3197",108541,43832,24.2841946635937
"196","A. T. RAMASWAMY",198,"JD(S)","AEKE3208",85064,10653,5.63937237962139
"197","H K KUMARASWAMY",199,"JD(S)","AEKE3220",62262,4942,3.06941269999006
"198","HARISH POONJA",200,"BJP","AEKE18533",98417,22974,12.7953216374269
"199","UMANATHA. A. KOTIAN",201,"BJP","AEKE3239",87444,29799,19.5727994640288
"200","DR.BHARATH SHETTY. Y",202,"BJP","AEKE18541",98648,26648,15.1319674737655
"201","D. VEDAVYASA KAMATH",203,"BJP","AEKE18546",86545,16075,9.83860405050585
"202","U.T.ABDUL KHADER",204,"INC","AEKE3266",80813,19739,13.2158973740945
"203","RAJESH NAIK U.",205,"BJP","AEKE3282",97802,15971,8.74859631343979
"204","SANJEEVA MATANDOOR",206,"BJP","AEKE3288",90073,19477,11.7140090575025
"205","ANGARA.S",207,"BJP","AEKE3293",95205,26068,15.4787069805002
"206","APPACHU RANJAN M P",208,"BJP","AEKE3302",70631,16015,9.45071935228788
"207","K G BOPAIAH",209,"BJP","AEKE3316",77944,13353,8.46347894429937
"208","K. MAHADEVA",210,"JD(S)","AEKE3326",77770,7493,4.81196537285828
"209","SA. RA. MAHESH",211,"JD(S)","AEKE3333",85011,1779,1.01647268551055
"210","ADAGURU H VISHWANATH",212,"JD(S)","AEKE19163",91667,8575,4.60457074124192
"211","ANIL KUMAR C",213,"INC","AEKE19177",76652,22093,12.9158798734895
"212","B. HARSHAVARDHAN",214,"BJP","AEKE19183",78030,12479,7.61012080815226
"213","G.T.DEVEGOWDA",215,"JD(S)","AEKE3374",121325,36042,15.9292504740059
"214","S A RAMADAS",216,"BJP","AEKE3387",78573,26347,17.9343534729218
"215","L. NAGENDRA",217,"BJP","AEKE3407",51683,14936,10.6265207678188
"216","TANVEER SAIT",218,"INC","AEKE302",62268,18127,11.1974549834759
"217","YATHINDRA S",219,"INC","AEKE19246",96435,58616,33.4856725012568
"218","ASHVIN KUMAR.M",220,"JD(S)","AEKE19267",83929,28478,18.3390646935332
"219","R NARENDRA",221,"INC","AEKE3483",60444,3513,2.06243065054922
"220","N. MAHESH",222,"BSP","TEKE19291",71792,19454,11.5200360038136
"221","C PUTTARANGASHETTY",223,"INC","AEKE3505",75963,4913,2.93996206114499
"222","C S NIRANJAN KUMAR",224,"BJP","AEKE19310",94151,16684,9.12182480235317
